vendor_id,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_doing_business_as_name,cage_code,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_county_name,recipient_state_code,recipient_zip_4_code,contracting_officers_determination_of_business_size_code,contracting_officers_determination_of_business_size,source_transaction_count,recipient_name_variant_count,address_variant_count
UEI:DK4TBEJRAR56,DK4TBEJRAR56,,EASTERN RESEARCH GROUP INC,"EASTERN RESEARCH GROUP, INC.",,00GP8,DK4TBEJRAR56,,EASTERN RESEARCH GROUP INC,USA,561 VIRGINIA RD,"BLDG 4, SUITE 300",CONCORD,MIDDLESEX,MA,017422767,O,OTHER THAN SMALL BUSINESS,2,1,1
UEI:VDJFNEUDK9B9,VDJFNEUDK9B9,,"JAY SHAPIRO & ASSOCIATES, INC.",JAY SHAPIRO & ASSOCIATES INC.,,3ZVY8,VDJFNEUDK9B9,,"JAY SHAPIRO & ASSOCIATES, INC.",USA,44A PEAPACK RD,,FAR HILLS,SOMERSET,NJ,079312439,S,SMALL BUSINESS,61,1,2
UEI:EDDNCDBNEKH1,EDDNCDBNEKH1,,RAVEN SERVICES JV LLC,"RAVEN SERVICES JV, LLC",,69HM4,EDDNCDBNEKH1,,RAVEN SERVICES JV LLC,USA,9626 CENTER ST STE 200,,MANASSAS,MANASSAS (CITY),VA,201105522,S,SMALL BUSINESS,108,1,1
UEI:MN4QKVWLVGF5,MN4QKVWLVGF5,,"DAVIDSON BROWN, INC.","DAVIDSON BROWN, INC.",,5EED6,MN4QKVWLVGF5,,"DAVIDSON BROWN, INC.",USA,295 MCLAWS CIR,STE 1,WILLIAMSBURG,JAMES CITY,VA,231855859,S,SMALL BUSINESS,36,1,1
UEI:CLQMC69ABZ17,CLQMC69ABZ17,,SCHROEDER CONSTRUCTION MANAGEMENT INC,SCHROEDER CONSTRUCTION MANAGEMENT INC,,4YXW7,CLQMC69ABZ17,,SCHROEDER CONSTRUCTION MANAGEMENT INC,USA,2 TOWNSEND W STE 3,,NASHUA,HILLSBOROUGH,NH,030631277,S,SMALL BUSINESS,8,1,1
UEI:WAEABL9LRLJ5,WAEABL9LRLJ5,,LB & B ASSOCIATES INC,L B & B ASSOCIATES INC.,,0V349,WAEABL9LRLJ5,,LB & B ASSOCIATES INC,USA,9891 BROKEN LAND PKWY,STE 400,COLUMBIA,HOWARD,MD,210463005,O,OTHER THAN SMALL BUSINESS,203,1,1
UEI:YMZ1PCB5LEM9,YMZ1PCB5LEM9,,DIDLAKE INC,"DIDLAKE, INC.",,1V159,YMZ1PCB5LEM9,,DIDLAKE INC,USA,8641 BREEDEN AVE STE 101,,MANASSAS,MANASSAS (CITY),VA,201108431,O,OTHER THAN SMALL BUSINESS,13,1,2
UEI:EURUZM9DMQA9,EURUZM9DMQA9,,"GREENER CONSTRUCTION SERVICES, INC.","GREENER CONSTRUCTION SERVICES, INC.",,58D17,EURUZM9DMQA9,,"GREENER CONSTRUCTION SERVICES, INC.",USA,975 WINDWHISPER LN,,ANNAPOLIS,ANNE ARUNDEL,MD,214033490,S,SMALL BUSINESS,7,1,1
UEI:C6K2UV85J4W5,C6K2UV85J4W5,,CAPLAN BROTHERS INCORPORATED,CAPLAN BROTHERS INCORPORATED,,1GJZ0,C6K2UV85J4W5,,CAPLAN BROTHERS INCORPORATED,USA,700 W HAMBURG ST,,BALTIMORE,BALTIMORE (CITY),MD,212302504,S,SMALL BUSINESS,2,1,1
UEI:NUCDU5ULPDF7,NUCDU5ULPDF7,,CHIMES DISTRICT OF COLUMBIA INC,CHIMES DISTRICT OF COLUMBIA INC,,1E7W1,F8LNWE8JTWK5,,"CHIMES INTERNATIONAL, LTD.",USA,4815 SETON DR,,BALTIMORE,BALTIMORE (CITY),MD,212153211,O,OTHER THAN SMALL BUSINESS,68,1,1
UEI:QP8VNJ36KNY4,QP8VNJ36KNY4,,WRIGHT BROS LLC,"WRIGHT BROS., LLC",,5MAM2,QP8VNJ36KNY4,,WRIGHT BROS LLC,USA,110 MANHATTAN DR,,ANDALUSIA,COVINGTON,AL,364202573,S,SMALL BUSINESS,37,1,2
UEI:TGLNLKNC26X5,TGLNLKNC26X5,,HOF CONSTRUCTION INC,HOF CONSTRUCTION INC,,0CF82,TGLNLKNC26X5,,HOF CONSTRUCTION INC,USA,3137 JAMIESON AVE,,SAINT LOUIS,ST. LOUIS (CITY),MO,631392519,S,SMALL BUSINESS,60,1,1
UEI:WKPBML82GJK9,WKPBML82GJK9,,"OFFICE DESIGN SOLUTIONS, LLC.","OFFICE DESIGN SOLUTIONS, LLC.",,6SKA2,WKPBML82GJK9,,"OFFICE DESIGN SOLUTIONS, LLC.",USA,294 SOWELL RD,,MCDONOUGH,HENRY,GA,302522986,S,SMALL BUSINESS,21,1,1
UEI:FWSNJTM5BHL8,FWSNJTM5BHL8,,"HARTMAN AND MAJEWSKI DESIGN GROUP, INC.","HARTMAN AND MAJEWSKI DESIGN GROUP, INC.",,4EZZ8,FWSNJTM5BHL8,,"HARTMAN AND MAJEWSKI DESIGN GROUP, INC.",USA,120 VASSAR DR SE STE 100,,ALBUQUERQUE,BERNALILLO,NM,871062823,S,SMALL BUSINESS,22,1,1
UEI:J8EZJJDGSGK1,J8EZJJDGSGK1,,SATELLITE SERVICES INC,SATELLITE SERVICES INC,,1Y984,J8EZJJDGSGK1,,SATELLITE SERVICES INC,USA,309 S FRONT ST,,MARQUETTE,MARQUETTE,MI,498554600,S,SMALL BUSINESS,93,1,2
UEI:T7ULTJKJCE15,T7ULTJKJCE15,,GLOBAL ENVIRONMENTAL CONSULTANTS LLC,GLOBAL ENVIRONMENTAL CONSULTANTS LLC,,83S92,T7ULTJKJCE15,,GLOBAL ENVIRONMENTAL CONSULTANTS LLC,USA,1303 HIGHWAY 85 S,,FAYETTEVILLE,FAYETTE,GA,302152505,S,SMALL BUSINESS,6,1,1
UEI:WKMVEPVY3RJ3,WKMVEPVY3RJ3,,HENRY GENERAL CONTRACTORS INC,HENRY GENERAL CONTRACTORS INC,,34WJ3,WLKERTRSKCC5,,HENRY GENERAL CONTRACTORS INC,USA,57 OBSERVER ST,,SPRINGFIELD,HAMPDEN,MA,011041729,S,SMALL BUSINESS,17,1,1
UEI:ZQSYA8Z3JBG1,ZQSYA8Z3JBG1,,BKM CONSTRUCTION LLC,BKM CONSTRUCTION LLC,,3H2C6,RC36EUG8SQ31,,BKM CONSTRUCTION LLC,USA,501 S 5TH ST,,LEAVENWORTH,LEAVENWORTH,KS,660482610,S,SMALL BUSINESS,63,1,2
UEI:HEA4H8KG9YM9,HEA4H8KG9YM9,,CERTIFIED SURFACE INSPECTIONS LLC,CERTIFIED SURFACE INSPECTIONS LLC,,11JC1,HEA4H8KG9YM9,,CERTIFIED SURFACE INSPECTIONS LLC,USA,7427 WOODLAND DR,,CEDAR HILL,JEFFERSON,MO,630163704,S,SMALL BUSINESS,2,1,1
UEI:MX3BM1MZT1Q4,MX3BM1MZT1Q4,,INSTALACIONES FULYES INC,INSTALACIONES FULYES INC,,7G8S5,MX3BM1MZT1Q4,,INSTALACIONES FULYES INC,USA,CARR 175 INTERIOR KM 12 0 BARRIO LOS BARROS,,TRUJILLO ALTO,TRUJILLO ALTO,PR,00976,S,SMALL BUSINESS,15,1,1
UEI:EGP3N629HRJ7,EGP3N629HRJ7,,"DESERT BUILDING & DESIGN, INC.","DESERT BUILDING & DESIGN, INC.",,86UB5,EGP3N629HRJ7,,"DESERT BUILDING & DESIGN, INC.",USA,1113 RAINBOW AVE,,CALEXICO,IMPERIAL,CA,922314204,S,SMALL BUSINESS,3,1,1
UEI:MS7BX7GMVA61,MS7BX7GMVA61,,MGS CONSTRUCTION SERVICES INC.,MGS CONSTRUCTION SERVICES INC.,,7XLJ1,MS7BX7GMVA61,,MGS CONSTRUCTION SERVICES INC.,USA,310 E TAYLOR DR,,SALLISAW,SEQUOYAH,OK,749551927,S,SMALL BUSINESS,13,1,1
UEI:NT2KEHAERHL5,NT2KEHAERHL5,,"HOFFMANN ARCHITECTS, INC.","HOFFMANN ARCHITECTS, INC.",,1N4N0,NT2KEHAERHL5,,"HOFFMANN ARCHITECTS, INC.",USA,265 CHURCH ST,16TH FLOOR,NEW HAVEN,SOUTH CENTRAL CONNECTICUT,CT,065107013,S,SMALL BUSINESS,6,1,1
UEI:NMGZRKQN54V3,NMGZRKQN54V3,,WASHINGTON OFFICE INTERIORS LLC,WASHINGTON OFFICE INTERIORS LLC,,39TN3,PHSRX77PE2L9,,WASHINGTON OFFICE INTERIORS LLC,USA,14 RIDGE SQ NW STE 401,,WASHINGTON,DISTRICT OF COLUMBIA,DC,200162992,S,SMALL BUSINESS,5,1,1
UEI:RDWHWEJZ9ME6,RDWHWEJZ9ME6,,"INNOVATIVE CONSULTING & MANAGEMENT SERVICES, LLC","INNOVATIVE CONSTRUCTION & MANAGEMENT SERVICES, LLC",,56K32,RDWHWEJZ9ME6,,"INNOVATIVE CONSULTING & MANAGEMENT SERVICES, LLC",USA,100 LAKEFOREST BLVD STE 600,,GAITHERSBURG,MONTGOMERY,MD,208776206,S,SMALL BUSINESS,3,1,2
UEI:DDYGK4DF4626,DDYGK4DF4626,,MATOS BUILDERS LLC,MATOS BUILDERS LLC,,5DXL6,DDYGK4DF4626,,MATOS BUILDERS LLC,USA,1501 S CLINTON ST STE 1302,,BALTIMORE,BALTIMORE (CITY),MD,212245730,S,SMALL BUSINESS,4,1,1
UEI:HYVXAJD24744,HYVXAJD24744,,PREMIER WATER & ENERGY TECHNOLOGY INC,"PREMIER WATER & ENERGY TECHNOLOGY, INC.",,7N892,HYVXAJD24744,,PREMIER WATER & ENERGY TECHNOLOGY INC,USA,11481 COLUMBIA PARK DR W,,JACKSONVILLE,DUVAL,FL,322582478,S,SMALL BUSINESS,4,1,1
UEI:UJX9NQUNKAU5,UJX9NQUNKAU5,,"CROSS CONSULTING ENGINEERS, P.C.","CROSS CONSULTING ENGINEERS, P.C.",,4EFJ6,UJX9NQUNKAU5,,"CROSS CONSULTING ENGINEERS, P.C.",USA,103 FAIRFAX RD,,SAINT ALBANS,FRANKLIN,VT,054786271,S,SMALL BUSINESS,1,1,1
